iter	Logloss
0	0.6546985812
1	0.626414657
2	0.5964260045
3	0.5677773156
4	0.5414512123
5	0.519929212
6	0.49338195
7	0.4779981332
8	0.4605432878
9	0.4397636825
10	0.4276519279
11	0.4078373584
12	0.3903948032
13	0.375547975
14	0.3629236547
15	0.3524706677
16	0.3413662345
17	0.331538515
18	0.3214030199
19	0.3154617917
20	0.3061974846
21	0.3003254983
22	0.2955652005
23	0.2865865428
24	0.2791611475
25	0.2724944907
26	0.2642525538
27	0.2580614149
28	0.2541550568
29	0.2501022027
30	0.2442924479
31	0.2395235798
32	0.2327425682
33	0.2288909377
34	0.2244431836
35	0.2195987105
36	0.2160847189
37	0.211292929
38	0.2086092165
39	0.2043476073
40	0.1997013361
41	0.1972462632
42	0.1957427562
43	0.19275234
44	0.1896387774
45	0.1880684263
46	0.1865655003
47	0.1822939589
48	0.18080376
49	0.1791983602
50	0.1774492356
51	0.1763618208
52	0.1746475685
53	0.1722034139
54	0.1707725099
55	0.167851074
56	0.1668200086
57	0.1654047315
58	0.1636445846
59	0.1625728615
60	0.1614455232
61	0.1602825516
62	0.1590843593
63	0.1576149401
64	0.1562817764
65	0.1551693476
66	0.1544467278
67	0.1536470886
68	0.1528987267
69	0.1522868501
70	0.151559659
71	0.1503741441
72	0.149472914
73	0.1488913181
74	0.1480974868
75	0.1473585762
76	0.1464481215
77	0.1455965565
78	0.1440229919
79	0.1433183586
80	0.142282036
81	0.1413750802
82	0.1407593155
83	0.1399014206
84	0.1386363454
85	0.1379668504
86	0.1372237957
87	0.1363596869
88	0.1355823902
89	0.1350100482
90	0.1344183588
91	0.133793955
92	0.1331060367
93	0.1327230693
94	0.1321632548
95	0.1317277226
96	0.1311289702
97	0.1299466186
98	0.1292245508
99	0.128679608
100	0.1278711968
101	0.1269019202
102	0.1256128036
103	0.1249669985
104	0.1243856941
105	0.1238613297
106	0.1233747988
107	0.1227952556
108	0.1223064167
109	0.1218565363
110	0.1212770246
111	0.1207172193
112	0.1199207921
113	0.1194534549
114	0.1188935708
115	0.1186085264
116	0.117803578
117	0.1174620174
118	0.1169980291
119	0.1164415501
120	0.1158888447
121	0.1153845582
122	0.1148222511
123	0.1143835308
124	0.1139211793
125	0.1135477551
126	0.1129951093
127	0.112539412
128	0.1120623303
129	0.1115799668
130	0.1106018201
131	0.1101378773
132	0.1093764266
133	0.1089913328
134	0.1085595853
135	0.1081399437
136	0.1077677436
137	0.1074158281
138	0.1069870109
139	0.1064942639
140	0.1061750568
141	0.105769128
142	0.105349237
143	0.1052055402
144	0.1048864647
145	0.1047276698
146	0.1042899089
147	0.1039505337
148	0.1033347619
149	0.1029571297
150	0.1025330039
151	0.102118501
152	0.1014798104
153	0.1011520259
154	0.1007561546
155	0.1003754899
156	0.1001020607
157	0.09956158423
158	0.09925294531
159	0.09892343282
160	0.09853072548
161	0.09815428573
162	0.09770568663
163	0.09751255046
164	0.09723306914
165	0.09691602861
166	0.09654010256
167	0.09630779865
168	0.09590145071
169	0.09559909649
170	0.09518367769
171	0.09487877578
172	0.09451470139
173	0.09412635393
174	0.09376644807
175	0.09374464303
176	0.09342666894
177	0.09333893764
178	0.09299919112
179	0.09269073123
180	0.09231435271
181	0.09194240511
182	0.09154681219
183	0.09114639317
184	0.0907795245
185	0.09034804259
186	0.09000186714
187	0.08978923414
188	0.08950025796
189	0.08928822603
190	0.08875987291
191	0.08847864239
192	0.08816632507
193	0.08786149426
194	0.08736756998
195	0.08703165811
196	0.08679070444
197	0.08652673399
198	0.08614657953
199	0.0858977652
200	0.0856568368
201	0.08526824565
202	0.08486546575
203	0.08463587262
204	0.08410644387
205	0.08381293103
206	0.08346438286
207	0.08322043787
208	0.08295166547
209	0.08270276542
210	0.08255065169
211	0.08218793114
212	0.08195605538
213	0.08170152528
214	0.08142103096
215	0.08084839293
216	0.08058673964
217	0.08029144647
218	0.08012009466
219	0.07974840448
220	0.07954711278
221	0.07935449131
222	0.07899268435
223	0.07880888716
224	0.0785642589
225	0.07840738271
226	0.07811798493
227	0.07778740838
228	0.07738835705
229	0.0769470527
230	0.07683743327
231	0.07657831713
232	0.07640740435
233	0.07614742743
234	0.07590228257
235	0.0755496038
236	0.07540910284
237	0.07516774264
238	0.07489384819
239	0.07465924987
240	0.07443288061
241	0.07418715717
242	0.07387125595
243	0.07365493645
244	0.07332633701
245	0.07314539062
246	0.07296700203
247	0.07272229096
248	0.07242225761
249	0.07209383001
250	0.07178178938
251	0.07163670723
252	0.07140968312
253	0.07114420327
254	0.07087428786
255	0.07068987512
256	0.07045071373
257	0.0701814405
258	0.06974010945
259	0.06972004505
260	0.06949538304
261	0.0694566991
262	0.06923479087
263	0.06907783999
264	0.06879147534
265	0.06863482785
266	0.06853838595
267	0.06831712893
268	0.06770467606
269	0.06758076259
270	0.06748779313
271	0.06743112616
272	0.06722803458
273	0.06699081168
274	0.06683352654
275	0.06676023343
276	0.06657904702
277	0.06643432486
278	0.06621173392
279	0.06576383001
280	0.0656326089
281	0.06553582446
282	0.06536976953
283	0.06511333829
284	0.06490638491
285	0.06473475794
286	0.06451588115
287	0.06444184304
288	0.06418723133
289	0.06400056757
290	0.06394468122
291	0.06374901839
292	0.06372590616
293	0.06350244093
294	0.06333023886
295	0.06313443179
296	0.0626408431
297	0.06264090893
298	0.06238804384
299	0.06202704853
